,date,name,format,link
0,2012-09-30 00:00:00,Triathlon des Vallons du Lyonnais,Super-Sprint,/triathlon-vallons-lyonnais-resultats-1379.htm
1,2012-09-16 00:00:00,Triathlon de Vaulx-en-Velin,Sprint,/triathlon-vaulx-en-velin-resultats-1363.htm
2,2012-09-09 00:00:00,Triathlon d'Aix-les-Bains,Courte Distance,/triathlon-aix-les-bains-resultats-1357.htm
3,2012-09-02 00:00:00,Triathlon d'Aiguebelette,Sprint,/triathlon-aiguebelette-resultats-1344.htm
4,2012-08-26 00:00:00,Triathlon du Mont Blanc,Courte Distance,/triathlon-mont-blanc-passy-resultats-1337.htm
5,2012-08-26 00:00:00,Triathlon du Mont Blanc,Sprint,/triathlon-mont-blanc-passy-resultats-1336.htm
6,2012-08-25 00:00:00,Triathlon des Gorges de l'Ardèche,Courte Distance,/triathlon-gorges-ardeche-resultats-1335.htm
7,2012-08-15 00:00:00,Triathlon de Lamastre,Sprint,/triathlon-lamastre-resultats-1332.htm
8,2012-07-26 00:00:00,Triathlon de l'Alpe d'Huez,Courte Distance,/triathlon-alpe-huez-resultats-1319.htm
9,2012-07-25 00:00:00,Triathlon de l'Alpe d'Huez,Longue Distance,/triathlon-alpe-huez-resultats-1318.htm
10,2012-07-22 00:00:00,Triathlon des collines,Sprint,/triathlon-collines-resultats-1314.htm
11,2012-07-15 00:00:00,Triathlon de Thonon,Courte Distance,/triathlon-thonon-resultats-1307.htm
12,2012-07-08 00:00:00,Triathlon nature du Valbonnais,Sprint - VTT,/triathlon-valbonnais-resultats-1302.htm
13,2012-07-01 00:00:00,Triathlon d'Annecy,Courte Distance,/triathlon-annecy-resultats-1297.htm
14,2012-06-17 00:00:00,Triathlon du lac des sapins,Moyenne Distance,/triathlon-lac-sapins-resultats-1290.htm
15,2012-06-17 00:00:00,Triathlon du lac des sapins,Courte Distance,/triathlon-lac-sapins-resultats-1291.htm
16,2012-06-10 00:00:00,Triathlon de Roanne,Courte Distance,/triathlon-roanne-villerest-resultats-1281.htm
17,2012-06-10 00:00:00,Triathlon de l'île Barlet,Courte Distance,/triathlon-ile-barlet-resultats-1278.htm
18,2012-06-10 00:00:00,Triathlon de Roanne,Sprint,/triathlon-roanne-villerest-resultats-1283.htm
19,2012-06-03 00:00:00,Half Iron Doussard,Half-Ironman,/half-iron-doussard-resultats-1274.htm
20,2012-05-27 00:00:00,Triathlon de Bourg-en-Bresse,Courte Distance,/triathlon-bourg-en-bresse-resultats-1272.htm
21,2012-05-27 00:00:00,Triathlon de Bourg-en-Bresse,Sprint,/triathlon-bourg-en-bresse-resultats-1269.htm
22,2012-05-20 00:00:00,Triathlon de Rumilly,Courte Distance,/triathlon-rumilly-resultats-1264.htm
23,2012-05-20 00:00:00,Triathlon de Rumilly,Super-Sprint,/triathlon-rumilly-resultats-1265.htm
24,2012-05-08 00:00:00,Triathlon de Valence,Sprint,/triathlon-valence-resultats-1252.htm
25,2012-04-29 00:00:00,Triathlon du Tricastin,Courte Distance,/triathlon-tricastin-resultats-1248.htm
26,2012-04-28 00:00:00,Triathlon du Tricastin,Super-Sprint,/triathlon-tricastin-resultats-1251.htm
27,2012-04-28 00:00:00,Triathlon du Tricastin,Sprint D2,/triathlon-tricastin-resultats-1250.htm
